SplitIndex,Left_Child,Right_Child,SplitEntropy,Counter
"[1.029287031473372, 1.093727830044641]","['Crafts', 'Professional', 'Sales']","['Agriculture', 'Labor', 'Missing', 'Service']",1.073970281,3
"[1.093727830044641, 1.029287031473372]","['Agriculture', 'Labor', 'Missing', 'Service']","['Crafts', 'Professional', 'Sales']",1.073970281,4
"[1.085382764827361, 1.0041174226279344]","['Labor', 'Missing']","['Agriculture', 'Crafts', 'Professional', 'Sales', 'Service']",1.073989364,2
"[1.0041174226279344, 1.085382764827361]","['Agriculture', 'Crafts', 'Professional', 'Sales', 'Service']","['Labor', 'Missing']",1.073989364,5
"[1.06336735070003, 1.141696498492564]","['Agriculture', 'Crafts', 'Missing']","['Labor', 'Professional', 'Sales', 'Service']",1.074004449,3
"[1.141696498492564, 1.06336735070003]","['Labor', 'Professional', 'Sales', 'Service']","['Agriculture', 'Crafts', 'Missing']",1.074004449,4
"[1.0831687384502102, 1.011181396991377]","['Missing', 'Service']","['Agriculture', 'Crafts', 'Labor', 'Professional', 'Sales']",1.074026346,2
"[1.011181396991377, 1.0831687384502102]","['Agriculture', 'Crafts', 'Labor', 'Professional', 'Sales']","['Missing', 'Service']",1.074026346,5
"[1.0708182452602073, 1.0858785470267547]","['Crafts', 'Service']","['Agriculture', 'Labor', 'Missing', 'Professional', 'Sales']",1.074047174,2
"[1.0858785470267547, 1.0708182452602073]","['Agriculture', 'Labor', 'Missing', 'Professional', 'Sales']","['Crafts', 'Service']",1.074047174,5
"[1.091563683148005, 1.0339639874712196]","['Agriculture', 'Labor', 'Service']","['Crafts', 'Missing', 'Professional', 'Sales']",1.074076416,3
"[1.0339639874712196, 1.091563683148005]","['Crafts', 'Missing', 'Professional', 'Sales']","['Agriculture', 'Labor', 'Service']",1.074076416,4
"[1.0727065649901748, 1.0790146722738436]","['Crafts', 'Missing', 'Service']","['Agriculture', 'Labor', 'Professional', 'Sales']",1.074077948,3
"[1.0790146722738436, 1.0727065649901748]","['Agriculture', 'Labor', 'Professional', 'Sales']","['Crafts', 'Missing', 'Service']",1.074077948,4
"[1.083648134315872, 1.0141965601531442]",['Labor'],"['Agriculture', 'Crafts', 'Missing', 'Professional', 'Sales', 'Service']",1.074119378,1
"[1.0141965601531442, 1.083648134315872]","['Agriculture', 'Crafts', 'Missing', 'Professional', 'Sales', 'Service']",['Labor'],1.074119378,6
"[1.0833968299697654, 1.0325916220970428]","['Agriculture', 'Labor', 'Missing']","['Crafts', 'Professional', 'Sales', 'Service']",1.074119799,3
"[1.0325916220970428, 1.0833968299697654]","['Crafts', 'Professional', 'Sales', 'Service']","['Agriculture', 'Labor', 'Missing']",1.074119799,4
"[1.08146199500917, 1.0223048390077045]",['Service'],"['Agriculture', 'Crafts', 'Labor', 'Missing', 'Professional', 'Sales']",1.074126508,1
"[1.0223048390077045, 1.08146199500917]","['Agriculture', 'Crafts', 'Labor', 'Missing', 'Professional', 'Sales']",['Service'],1.074126508,6
